Ensembl ID,Description,Gene Name,OMIM number,Curator's Note,PubMed IDs,Localisation,First order,Second order,In SCGSv1,Predicted in SCGSv1 paper,Predicted in CiliaCarta
ENSG00000135541,Abelson helper integration site 1(AHI1),AHI1,608894,"Mutated in Joubert syndrome (type 3) OMIM 608894, PMID:16453322. At mother centriole/basal body. Interacts with B9 complex of transition zone proteins including B9D1, B9D2, MKS1, TCTN1, TCTN2 PMID:22179047. Role in RAB8-dependent ciliary membrane targeting PMID:19625297.",PMID:16453322 PMID:22179047 PMID:19625297,Ciliary membrane,x,,x,,x
ENSG00000140057,adenylate kinase 7(AK7),AK7,615364,"Ultrastructural defects in 9+2 cilia, leading to PCD phenotype in mutant mice PMID:18776131. Role in ATP production to power ciliary beating. Reduced expression levels in PCD patients PMID:20537283. 1 single possibly pathogenic variant found in AK7 in 1 PCD patient PMID: 22801010. Homozygous missense mutation L673P in adenylate kinase 7 (AK7) leads to primary male infertility and multiple morphological anomalies of the flagella but not to primary ciliary dyskinesia. Mutations lead to spermatogenic failure in humans",PMID:18776131 PMID:20537283 PMID:22801010; PMID: 30517620,Sperm flagella and motile cilium,x,,x,,x
ENSG00000165695,adenylate kinase 8(AK8),AK8,,Hydrocephalus due to dysfunctional motile cilia in KO mouse PMID: 21746835,PMID:21746835; PMID: 24740601,Sperm flagella axoneme,x,,x,,x
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),AKT1,,Neddylation inhibitor MLN4924 suppresses cilia formation by modulating AKT1. Regulates a Rab11- Effector Switch Required for Ciliogenesis. PMID: 31204173,PMID: 30850948,Cytoplasm/membrane,,x,,,x
ENSG00000073331,alpha kinase 1(ALPK1),ALPK1,,"missense pathogenic variant in five families leads to ROSAH syndrome, an ocular multisystem autosomal dominant disorder.",PMID: 30967659,Basal body of connecting cilium,x,,,,
ENSG00000176248,anaphase promoting complex subunit 2(ANAPC2),ANAPC2,,Regulates ciliary length and disassembly of the primary cilium.,PMID: 25139956,Basal body,x,,,,
ENSG00000107890,ankyrin repeat domain 26 (ANKRD26),ANKRD26,,Ankrd26-/- mice display hyperphagia and have defects in primary cilia in regions of the central nervous system that control appetite and energy homeostasis (PMID: 24633808). With TALPID3 selectively orchestrates FBF1 localization and cilia gating (PMID: 32366837),PMID: 24633808; PMID: 30824690; PMID: 32366837,Centriole distal appendage,x,,,,
ENSG00000168096,ankyrin repeat and sterile alpha motif domain containing 3(ANKS3),ANKS3,,"Interacts with ANKS6 through sterile alpha motif (SAM), localised to renal cilia in mice",PMID: 26327442,Renal cilia,x,,,,
ENSG00000131620,anoctamin 1(ANO1),ANO1,,TMEM16A. Ca2+-activated Cl- channel .Regulates primary ciliogenesis.,PMID: 24694595,Primary cilia membrane,x,,,,
ENSG00000047617,anoctamin 2(ANO2),ANO2,,Localises to cilia of olfactory epithelium.,PMID: 19561302,Cilia of olfactory epithelium.,x,,,,x
ENSG00000168374,ADP ribosylation factor 4(ARF4),ARF4,,"Involved in ciliary targeting of rhodopsin and other proteins with VxPx motif. PMID:19153612. Targets proteins to cilia in association with ASAP1, RAB11 and RAB8 PMID:22983554. Dispensable for ciliogenesis","PMID:19153612, PMID:22983554",Trans-Golgi Network,,x,x,,x
ENSG00000147256,Rho GTPase activating protein 36,ARHGAP36,,Patched1-ArhGAP36-PKA- Inversin axis determines the ciliary translocation of Smoothened for Sonic Hedgehog pathway activation.,PMID: 30598432,Mother centriole,,x,,,
ENSG00000213465,ADP ribosylation factor like GTPase 2(ARL2),ARL2,,Regulates cilia stability and development of outer segments in rod photoreceptor neurons.,PMID: 30446707,Photoreceptor connecting cilium,x,,,,
ENSG00000102931,ADP ribosylation factor like GTPase 2 binding protein(ARL2BP),ARL2BP,615407,Needed for normal photoreceptor cilia doublets and outer segment structure.,PMID: 29718757,Photoreceptor inner segment,,x,,,x
ENSG00000138175,ADP ribosylation factor like GTPase 3(ARL3),ARL3,,"interactor of RP2 PMID: 12417528 and PDEdelta PMID:10518933. Involved in trafficking of vesicles from the Golgi to the cilium PMID:20106869, especially; farnesylated cargo PMID:22002721 in association with PDEdelta and RPGR PMID:23559067; and myristoylated cargo in association with UNC119 and RP2 PMID:22085962 ARL3 Mutations Cause Joubert Syndrome by Disrupting Ciliary Protein Composition PMID: 30269812","PMID:12417528, PMID:10518933, PMID:20106869, PMID:22002721, PMID:23559067, PMID:22085962; PMID: 30269812",Cytosol,,x,x,,x
ENSG00000118690,armadillo repeat containing 2(ARMC2),ARMC2,,Required for sperm flagellum formation. Bi-allelic Mutations in ARMC2 Lead to Severe Astheno-Teratozoospermia Due to Sperm Flagellum Malformations in Humans and Mice.,PMID: 30686508,Not reported,,,,,
ENSG00000169126,armadillo repeat containing 4(ARMC4),ARMC4,615408,PCD with randomisation of body axis PMID: 23849778. Causes outer dynein arm defects in motile cilia PMID: 24203976,PMID: 23849778; PMID: 24203976,Motile cilium axoneme and basal body,x,,,x,x
ENSG00000135931,armadillo repeat containing 9(ARMC9),ARMC9,617612,Ciliopathy gene JBTS30 PMID:28625504. Interacts with coiled-coil domain containing 66 (CCDC66) and TOG array regulator of axonemal microtubules 1 (TOGARAM1) PMID: 32453716. Regulator of b- tubule length PMID: 30217954,PMID:28625504; PMID: 32453716; PMID: 30217954,Primary cilium basal body,x,,,,
ENSG00000153317,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)",ASAP1,,"Targets proteins, such as rhodopsin and polycystin-1, to cilia in association with ARF4, RAB11 and RAB8 PMID:19153612, PMID:21775626. Provides a platform to regulate Arf4- and Rab11-Rab8-mediated ciliary cargo trafficking PMID:22983554","PMID: 19153612, PMID:21775626, PMID:22983554",Trans-Golgi Network,,x,x,,x
ENSG00000137343,alpha tubulin acetyltransferase 1(ATAT1),ATAT1,,Major alpha-tubulin K40 acetyltransferase alphaTAT1. Promotes rapid ciliogenesis and efficient mechanosensation.,PMID: 21068373; PMID: 23720746,Microtubule ctyoskeleton,,x,,,x
ENSG00000057663,autophagy related 5(ATG5),ATG5,604261,"OFD1 at the centriolar satellites is rapidly degraded by autophagy upon serum starvation. In autophagy- deficient Atg5 or Atg3 null mouse embryonic fibroblasts, OFD1 accumulates at centriolar satellites, leading to fewer and shorter primary cilia and a defective recruitment of BBS4 (Bardet-Biedl syndrome 4) to cilia. MUtations cause spinocerebellar ataxia 25",PMID: 24089205,Cytoplasm. Discrete punctae along the ciliary axoneme and base of the ciliary axoneme,x,,,,x
ENSG00000166454,ATM interactor(ATMIN),ATMIN,,Regulates ciliogenesis. Interacts with DYNLL1 (PMID: 25294941),PMID: 25294941,Nucleus (in discrete foci in G1),,x,,,x
ENSG00000172238,atonal bHLH transcription factor 1(ATOH1),ATOH1,,Controls Primary Cilia Formation to Allow for SHH- Triggered Granule Neuron Progenitor Proliferation.,PMID: 30695697,Nucleus,,x,,,
ENSG00000105675,ATPase H+/K+ transporting alpha subunit(ATP4A),ATP4A,,"ATP4a and canonical Wnt signaling are required in the epidermis for expression of foxj1, a transcriptional regulator of motile ciliogenesis.",PMID: 25848696,Cell membrane,,x,,,
ENSG00000087586,aurora kinase A(AURKA),AURKA,,kinase at the basal body of cilia. Phosphorylates HDAC6 to promote cilia disassembly,PMID: 17604723,"Centrosome, basal body, spindle pole",x,,,,x
ENSG00000108641,B9 domain containing 1(B9D1),B9D1,611951,Mutated in Meckel-Gruber syndrome (type 9) OMIM 614144 although mutations only found in 1 family PMID:21493627. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047,"PMID:21493627, PMID:21763481, PMID:22179047",Transition Zone,x,,x,,x
ENSG00000123810,B9 protein domain 2(B9D2),B9D2,614145,Mutated in Meckel-Gruber syndrome (type10) OMIM 611951 although mutations only found in 1 family PMID:21763481. Interacts with B9D2 and MKS1 at the transition zone PMID:22179047,"PMID:21493627, PMID:21763481, PMID:22179047",Transition Zone,x,,x,,x
ENSG00000214413,BBSome interacting protein 1(BBIP1),BBIP1,613605,"Component of BBSome, implicated in BBS (BBS18) PMID: 24026985, PMID: 32055034",PMID: 19081074; PMID: 24026985; PMID: 32055034,"Basal body, Cilium",x,,,,x
ENSG00000119636,basal body orientation factor 1(BBOF1),BBOF1,,Required to maintain cilia orientation in multiciliated cells,PMID: 23900544,Basal body,x,,,x,x
ENSG00000174483,Bardet-Biedl syndrome 1(BBS1),BBS1,209901,"Mutated in Bardet-Biedl syndrome (type 1) OMIM 209901 PMID: 12118255. Forms part of BBSome, mediates interaction with RABIN8 (RAB3IP), important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986","PMID:12118255, PMID: 20603001, PMID:17574030, PMID:22072986","Basal Body, Cilium",x,,x,,x
ENSG00000181004,Bardet-Biedl syndrome 12(BBS12),BBS12,610683,Mutated in Bardet-Biedl syndrome (type 12) OMIM 610683 PMID:17160889 Forms complex with other chaperonin-like BBS proteins to facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184.,"PMID:17160889, PMID:20080638, PMID:19190184.",Basal body,x,,x,,x
ENSG00000125124,Bardet-Biedl syndrome 2(BBS2),BBS2,606151,"Mutated in Bardet-Biedl syndrome (type 2) OMIM 606151 PMID:11285252. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986","PMID:11285252, PMID: 20603001, PMID:17574030, PMID:22072986","Basal Body, Cilium",x,,x,,x
ENSG00000140463,Bardet-Biedl syndrome 4(BBS4),BBS4,600374,"Mutated in Bardet-Biedl syndrome (type 4) OMIM 600374 PMID:11381270. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986","PMID:11381270, PMID: 20603001, PMID:17574030, PMID:22072986","Basal Body, Cilium",x,,x,,x
ENSG00000163093,Bardet-Biedl syndrome 5(BBS5),BBS5,603650,"Mutated in Bardet-Biedl syndrome (type 5) OMIM 603650 PMID:15137946. Forms part of BBSome, mediates binding to phospholipids, predominantly phosphatidylinositol 3- phosphate PMID: 20603001, PMID:17574030,","PMID:15137946, PMID: 20603001, PMID:17574030, PMID:22072986",Basal Body,x,,x,,x
ENSG00000138686,Bardet-Biedl syndrome 7(BBS7),BBS7,607590,"Mutated in Bardet-Biedl syndrome (type 7) OMIM 607590 PMID:12567324. Forms part of BBSome important for RAB8-mediated membrane protein trafficking PMID: 20603001, PMID:17574030, PMID:22072986","PMID:12567324, PMID: 20603001, PMID:17574030, PMID:22072986","Basal Body, Cilium",x,,x,,x
ENSG00000122507,Bardet-Biedl syndrome 9(BBS9),BBS9,607968,"Mutated in Bardet-Biedl syndrome (type 7) OMIM 607968 PMID:16380913. Forms part of BBSome, important for RAB8-mediated membrane protein trafficking. Complex-organizing subunit of BBSome. PMID: 20603001, PMID:17574030, PMID:22072986","PMID:16380913, PMID: 20603001, PMID:17574030, PMID:22072986",Cilium,x,,x,,x
ENSG00000166352,chromosome 11 open reading frame 74(C11orf74),C11orf74,,"C11ORF74, interacts with the IFT-A complex via the IFT122 subunit and is accumulated at the distal tip in the absence of an IFT-A subunit IFT139, suggesting that at least a fraction of C11ORF74 molecules can be transported towards the ciliary tip by associating with the IFT-A complex, although its majority might be out of cilia at steady state (PMID: 30476139).",PMID: 30476139,"Ciliary tip, out of cilia.",x,,,,x
ENSG00000168014,C2 calcium dependent domain containing 3(C2CD3),C2CD3,615948,"C2cd3 is an essential regulator of intracellular transduction of the Hedgehog signal (PMID: 19004860). Regulates primary cilium biogenesis, recruiting centriolar distal appendage proteins. C2cd3 is essential for ciliary vesicle docking (PMID: 24469809). Promotes centriolar elongation (PMID: 24997988)","PMID: 19004860, PMID: 24469809, PMID: 24997988.",Basal Body. Centrioles and centriolar satellites in microtubules.,x,,x,,x
ENSG00000151067,calcium voltage-gated channel subunit alpha1 C(CACNA1C),CACNA1C,,"CACNA1C, also called CaV1.2Serves as a modifier gene to cystic kidney phenotype. Plays an important role in Akt and Erk activities through cytosolic calcium and CaM kinase II. CaV1.2 might be a secondary calcium-permeable channel to the polycystins complex (PMID: 24925129). CaV1.2 expression is regulated through Wnt signaling and plays an essential sensory role in primary cilia for cellular homeostasis (PMID: 24700505).","PMID: 24925129, PMID: 24700505",Primary cilia of epithelial cells. Cytoplasm of Pkd cells.,x,,,,
ENSG00000158428,ciliogenesis associated TTC17 interacting protein(CATIP),CATIP,,"It is involved in primary ciliogenesis in human cells and modulates actin polymerization, its depletion reduces the number of primary cilia without changing their length, suggesting it would be involved in cilia initiation rather than in cilia elongation. C2orf62 in association with TTC17 probably act on both motile and primary cilia formation (PMID, 24475127)",PMID: 24475127,"Cytoplasm of spermatocytes, round and elongating spermatid, and Leydig cells. Nucleus and F-actin zone in cell membrane.",,x,,,
ENSG00000100211,"chibby family member 1, beta catenin antagonist(CBY1)",CBY1,,"Inhibits beta-catenin-mediated transcriptional activation by competing with Tcf/Lef. Cby1 is required for recruitment of Arl13b to the primary cilium. Promotes Ahi1 localisation to the centriole and is probably important for assembly and function of transition zone components (PMID: 25103236). Cby1 may associate with membranes to promote the recruitment of FAM92 proteins for their higher-order assembly and subsequent membrane remodelling to promote ciliogenesis (PMID: 27528616). Because of its proximity to the membrane vesicle, it is possible that Cby proteins may be involved in targeting and/or attachment of the vesicles to the centriole, controlling intraflagellar transport and protein sorting of the ciliary membrane (PMID: 22911743).","PMID: 25103236, PMID: 27528616, PMID: 22911743.",Distal end of mother centrioles and transition zone.,x,,x,,x
ENSG00000167131,coiled-coil domain containing 103(CCDC103),CCDC103,614677,"Participates in microtubule stabilization that facilitates dynein arm attachment and ciliary motility (PMID: 28790179). Contributes to axonemal stability. A potential role, is to modify the doublet microtubule to provide a high affinity binding site for the docking complex and needed for dynein attachment (PMID: 25572396) Binds microtubules and stabilises them against cold depolymerization. It is also an outer dynein arm assembly factor (PMID: 31858719, PMID: 22581229)","PMID: 28790179, PMID: 25572396, PMID: 31858719, PMID: 22581229",Axoneme. In zebrafish: Cytoplasm and axoneme.,x,,x,,x
ENSG00000105479,coiled-coil domain containing 114(CCDC114),CCDC114,615038,Subunit of the outer dynein arm (ODA) docking complex. It is responsible for axonemal microtubule attachment .,"PMID: 25192045, PMID: 23261303",Basal body and axoneme.,x,,x,,x
ENSG00000198003,coiled-coil domain containing 151(CCDC151),CCDC151,615956,"Ensures correct attachment of outer dynein arm (ODA) complexes to microtubules and is required for proper motile and non-motile functions, controls intraflagellar transport (IFT)- dependent dynein arm assembly and regulates primary cilia lenght in mammals. Required for the correct establishment of left-right asymmetry. When mutated causes PCD by disruption of the outer dynein arm docking complex formation (PMID: 25192045 )","PMID: 24067530, PMID: 25224326; PMID: 25192045",Outer dynein arm docking complex of motile cilia,x,,,x,x
ENSG00000117477,coiled-coil domain containing 181(CCDC181),CCDC181,,"CCDC181 is a structural component of the axonemal structure of sperm flagella as well as motile cilia. It might be a component of the apparatus necessary for the generation of ciliary motility. C-terminal region interacts with microtubules of the axoneme and Hook1, acting as a linker protein for phosphoprotein phosphatase 1 (PP1) to tack the phosphatase to the axonemal structure of cilia and flagella. Pronostic factor for prostate cancer.","PMID: 28282151, PMID: 28283191.",Proximal portion of the ciliary axoneme. Basal half of motile cilia.,x,,,x,x
ENSG00000145075,coiled-coil domain containing 39(CCDC39),CCDC39,613798,"CCDC39 regulates centriole/deuterosome amplification and multiciliogenesis. CCDC39/40 protein complex might define the binding site of radial spokes along peripheral microtubules and provide anchoring sites for inner dynein arms (PMID: 29317443). It is essential for assembly of inner dynein arms and the dynein regulatory complex (PMID: 21131972, PMID: 21131974)","PMID: 29317443, PMID: 21131972, PMID: 21131974",Ciliary axoneme.,x,,x,,x
ENSG00000141519,coiled-coil domain containing 40(CCDC40),CCDC40,613799,"CCDC40 is required for assembly of motile cilia. It is responsible for CCDC39 axonemal recruitment. It is important for cytoplasmic pre- assembly, axonemal targeting, and/or transport of axonemal components CCDC39, GAS11 and DNALI1. Necessary for assembly of inner dynein arms, the dynein regulatory complex and plays a role in the establishment of the left- right patterning (PMID: 21131974)",PMID: 21131974,"Ciliary axoneme, apical cytoplasm.",x,,x,,x
ENSG00000180376,coiled-coil domain containing 66(CCDC66),CCDC66,,"Organisation of spindle pole and centriolar satellite. It is involved in cilium formation, satellite organization, BBS4 recruitment to the primary cilium and ciliary trafficking. Overexpression induces formation of microtubule bundles, disruption of centriolar satellite organization and inhibits ciliogenesis (PMID: 28235840, PMID: 31582766). Interacts with ARMC9 and TOGORAM1 (PMID: 32453716). When mutated in dogs causes late onset retinal degeneration (PMID: 33273526)","PMID: 28235840, PMID: 31582766; PMID: 32453716; PMID: 33273526","Centrosome, centriolar satellites and the primary cilium, along the axoneme.",x,,,,
ENSG00000162004,coiled-coil domain containing 78(CCDC78),CCDC78,,Centriole amplification mediated by deuterosome in multi-ciliated cells. Recruitment of Cep152 to the deuterosome required for centriole biogenesis.,PMID: 24075808,"Deuterosome, centrioles",x,,,,x
ENSG00000103540,centriolar coiled-coil protein 110,CCP110,,"Suppressor of ciliogenesis by acting simply as a passive physical barrier and by capping the growing ends of microtubules to prevent their elongation. Regulation the assembly of subdistal appendages (SDA) core components. Has a role in regulating centrosome duplication and separation (PMID: 26965371). Regulates the length of centrioles and prevents aberrant formation of primary cilia, components to a CP110 scaffold may be needed to facilitate depolymerization (PMID: 21620453). Studies suggest that CP110 might control discrete functions in the centrosome cycle and constitutes a set of controls that govern the switch from centriolar to basal body function (PMID: 17719545).","PMID: 26965371, PMID: 21620453, PMID: 17719545",Distal ends of both centrioles.,x,,x,,x
ENSG00000166226,chaperonin containing TCP1 subunit 2(CCT2),CCT2,,"Roles in the folding of β- propeller proteins, such as Gβ1, in addition to its major target proteins, actin and tubulin. Interacts with chaperonin type BBSs, including BBSs 6, 10, and 12. Mutations in CCT2 could lead to genetic retinal diseases (PMID: 27645772)",PMID: 27645772,Basal body or the base of the connecting cilium,x,,,x,x
ENSG00000117399,cell division cycle 20(CDC20),CDC20,,"Neuronal differentiation, ciliary formation or DNA damage repair. Studies suggest that is involved in neuronal connectivity and plasticity (PMID: 25850036). Potential activity in quiescent and differentiated cells, is recruited to the basal body of the primary cilium, where in complex with APC it negatively regulates ciliary length, by destabilizing axonemal microtubules (PMID: 25139956).","PMID: 25850036, PMID: 25139956","Centrosome of postmitotic neurons, basal body.",x,,,,
ENSG00000164287,cell division cycle 20B(CDC20B),CDC20B,,Specifically expressed in maturing multiciliated cells during the phase of centriole multiplication; it has been established the corresponding CDC20B protein as an essential regulator of centriole-deuterosome disengagement. Plays an essential and conserved role of in vertebrate multiciliogenesis. Function of promoting deuterosome,PMID: 30405130,"Possible locations are: perideuterosomal region, multiciliary locus, deuterosome.",,,,,
ENSG00000107736,cadherin related 23(CDH23),CDH23,605516,"Essential tip link component required for hair-cell mechanotransduction (PMID: 15057246). Encodes a protein of 3,354 amino acids with a single transmembrane domain and 27 cadherin repeats (PMID: 11138009). Studies suggest that Cdh23 are required for establishing and/or maintaining the proper organisation of the stereocilia bundle (PMID: 12121736).","PMID: 15057246, PMID: 11138009, PMID: 12121736",Near the tips of hair bundles.,x,,x,,x
ENSG00000185324,cyclin dependent kinase 10(CDK10),CDK10,603464,"Interacts with Cyclin M (CycM), encoded by FAM58A to form an active protein kinase. CDK10/CycM is a key repressor of ciliogenesis through the regulation of RhoA and modulation of actin dynamics (PMID: 27104747). Important for normal regulation of ciliogenesis (PMID: 29130579).","PMID: 27104747, PMID: 29130579","Base of primary cilia, basal body.",x,,,,
ENSG00000156345,cyclin dependent kinase 20(CDK20,CDK20,,"Positively and negatively controls both ciliary length and the activity of the Hh pathway, regulates a broad array of processes at levels ranging from the subcellular to the organismal (PMID: 28817564).","PMID: 28817564, PMID: 20159594","Cilium, nucleus, cytoplasm.",x,,,x,x
ENSG00000111276,cyclin dependent kinase inhibitor 1B(CDKN1B),CDKN1B,,"Also known as p27Kip1. Multifunctional protein that plays crucial roles in cell architecture and migration by regulating rearrangements of the actin cytoskeleton and microtubules. p27Kip1 abrogation impairs one of the earliest events of ciliogenesis, docking of the Ehd1- associated preciliary vesicles to the distal appendages of the basal body (PMID: 32423824)",PMID: 32423824,"Nucleus, cytoplasm",,x,,,
ENSG00000143126,cadherin EGF LAG seven-pass G-type receptor 2(CELSR2),CELSR2,,"Has been shown to be required for ciliogenesis (PMID: 27894351). Lack of cadherins Celsr2 and Celsr3 impairs ependymal ciliogenesis, leading to fatal hydrocephalus (PMID: 29420175), Whereas inactivation of Celsr2, Celsr3, Fzd3, and Vangl2 perturbs the organization of ependymal multicilia at the single-cell level (PMID: 25024228).","PMID: 29420175, PMID: 27894351, PMID: 25024228",Cell membrane.,,x,,,
ENSG00000008300,cadherin EGF LAG seven-pass G-type receptor 3(CELSR3),CELSR3,,"Lack of cadherins Celsr2 and Celsr3 impairs ependymal ciliogenesis, leading to fatal hydrocephalus (PMID: 29420175), controls the function of ependymal cilia (PMID: 29327175), Whereas inactivation of Celsr2, Celsr3, Fzd3, and Vangl2 perturbs the organization of ependymal multicilia at the single-cell level (PMID: 25024228).","PMID: 29420175, PMID: 29327175, PMID: 25024228",Cell membrane.,,x,,,x
ENSG00000151849,centromere protein J(CENPJ),CENPJ,609279,"Acts as a scaffold for the cilium disassembly complex, which includes Nde1, Aurora A, and OFD1, which is recruited to the ciliary base for timely cilium disassembly, plays a role in NPC proliferation, cilia formation, controlling the cilium axoneme and BB structure, regulates centriole duplication and elongation (PMID: 30626697). Promotes the extension of the centriolar cylinder, presumably via its ability to recruit tubulin to the nascent structure, studies propose that functions as a scaffold for tubulin addition (PMID: 19481458).","PMID: 30626697, PMID: 19481458",Centrosome.,x,,x,,x
ENSG00000116198,centrosomal protein 104(CEP104),CEP104,616690,"Has an important role in regulating microtubule length in cilia by facilitating tubulin addition to ciliary microtubules and might also be involved in regulating other factors, possibly by interacting with Nek1. Cep104 is involved in the stabilization of the ciliary axoneme or in cilia formation and elongation, mutations cause ciliopathies (PMID: 28017521). Regulates ciliary assembly by interacting with centriolar proteins that suppress cilia formation, detaches from these proteins at the onset of cilia formation and moves to the tip of the nascent cilium (PMID: 23970417).","PMID: 31412255, PMID: 28017521, PMID: 23970417","Axoneme, centriole.",x,,x,,x
ENSG00000100629,centrosomal protein 128(CEP128),CEP128,,It encodes a subdistal appendage protein that regulates TGF-β/bone morphogenetic protein (BMP) signaling and RAB11 trafficking at the primary cilium. It has no major effect on centrosome structure but leads to increased ciliation frequency (PMID: 29514088).,PMID: 29514088,"Centrosome, centriole.",x,,,,
ENSG00000141577,centrosomal protein 131(CEP131),CEP131,,"Contributor to ciliogenesis in certain tissues in the developing vertebrate embryo, involved in assembling the cilium and in determination of the length of the axoneme (PMID: 19254375). The Atoh1- Cep131-CS integrity axis would act as a gatekeeper during GNPs’ ciliogenesis, as it would provide cells an essential machinery (i.e., the CS) for building the primary cilia (PMID: 30695697).","PMID: 19254375, PMID: 30695697,","Centrosome, basal body.",x,,x,,x
ENSG00000135315,centrosomal protein 162(CEP162),CEP162,,Promotes and restricts transition zone (TZ) assembly before ciliogenesis. Interacts with core TZ components CEP290 and mediates their association with MTs. Loss of CEP162 arrests ciliogenesis at the stage of TZ assembly; gain of CEP162 at cilia tips promotes ectopic assembly of TZ components,PMID: 23644468,"Centriole distal end, axoneme.",x,,,,x
ENSG00000110274,centrosomal protein 164(CEP164),CEP164,614848,"Assembly of primary cilia and promotes vesicular docking and trafficking that initiates cilia membrane biogenesis (PMID: 17954613, PMID: 23253480). CEP164 promotes accumulation of GTP-Rab8 at the centrosome, providing a molecular link connecting the M-centriole to components of the machinery that initiate ciliary membrane biogenesis (PMID: 23253480). Recruitment of active tau tubulin kinase 2 (TTBK2) to centrioles, leading to removal of CP110 and recruitment of intraflagellar","PMID: 17954613, PMID: 23253480, PMID: 24982133, PMID: 23150559; PMID: 32367404",Distal appendages of mature centrioles.,x,,x,,x
